Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CA2	gene	CA2	NHS GMS;Expert Review Green;Expert;UKGTN;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis, 259730;Osteopetrosis with Renal Tubular Acidosis	611492			1301935			3		13.1			ENSG00000104267	ENSG00000104267	HGNC:1373													
CA2	gene	CA2	Expert Review Green;Expert	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis	611492						3		13.1			ENSG00000104267	ENSG00000104267	HGNC:1373													
CASR	gene	CASR	Expert Review Green;NHS GMS	Unexplained young onset end-stage renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hypocalcemia, autosomal dominant, (with Bartter syndrome), 601198;Hypocalciuric hypercalcemia, type I, 145980;Hyperparathyroidism, neonatal, 239200	601199			7916660;7673400;7726161;8675635;17698911;7874174;7808841;8733126;12191970;15005845;17048213			3		13.1			ENSG00000036828	ENSG00000036828	HGNC:1514													
CASR	gene	CASR	Expert Review Green;Eligibility statement prior genetic testing;Expert;Radboud University Medical Center, Nijmegen;UKGTN;Illumina TruGenome Clinical Sequencing Services	Unexplained young onset end-stage renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Familial Hypocalciuric Hypercalcemia;Hypocalciuric hypercalcemia, type I, 145980Hyperparathyroidism, neonatal, 239200Hypocalcemia, autosomal dominant, 601198Hypocalcemia, autosomal dominant, with Bartter syndrome, 601198{Epilepsy idiopathic generalized, susceptibility to,;Hypocalcemia (dominant);Familial Hypocalciuric Hypercalcemia (dominant);hypocalciuric hypercalcaemia	601199						3		13.1		Other	ENSG00000036828	ENSG00000036828	HGNC:1514													
CC2D2A	gene	CC2D2A	Orphanet;Eligibility statement prior genetic testing;Expert list;Expert Review Green;Other	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 9;COACH syndrome;Joubert syndrome with oculorenal defect;Meckel syndrome 6;Meckel syndrome	612013						3		13.1			ENSG00000048342	ENSG00000048342	HGNC:29253													
CD151	gene	CD151	Expert Review Green;NHS GMS;Eligibility statement prior genetic testing	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephropathy with pretibial epidermolysis bullosa and deafness, OMIM:609057;nephrotic syndrome - deafness - pretibial epidermolysis bullosa syndrome, MONDO:0012190	602243			15265795;17015618;29138120;32641585;22338088;18787104;22201679			3		13.1			ENSG00000177697	ENSG00000177697	HGNC:1630													
CD2AP	gene	CD2AP	Expert Review Green;NHS GMS;Eligibility statement prior genetic testing	Unexplained young onset end-stage renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Glomerulosclerosis, focal segmental, 3, OMIM:607832;focal segmental glomerulosclerosis 3, susceptibility to, MONDO:0011917	604241			10514378;12764198;17713465;19131354;25501161;26997877;30348286;30612599;34408996;36964972			3		13.1			ENSG00000198087	ENSG00000198087	HGNC:14258													
CD46	gene	CD46	NHS GMS;Expert Review Green;UKGTN;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;Eligibility statement prior genetic testing	Unexplained young onset end-stage renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hemolytic uremic syndrome, atypical, susceptibility to, 2 612922	120920			14615110;14566051;16621965			3		13.1			ENSG00000117335	ENSG00000117335	HGNC:6953													
CENPF	gene	CENPF	Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Stromme syndrome, OMIM:243605;Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome	600236			26820108			3		13.1			ENSG00000117724	ENSG00000117724	HGNC:1857													
CEP104	gene	CEP104	Expert Review Green;Radboud University Medical Center, Nijmegen;Other	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 25, 616781;Joubert syndrome 25	616690			26477546			3		13.1			ENSG00000116198	ENSG00000116198	HGNC:24866													
